City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
259,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
269,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
279,Grand Gaube,MU,75.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
282,Butaritari,KI,82.2,light rain,3.0707,172.7902,Isles Sunset Lodge
285,Port Blair,IN,78.64,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
288,Butaritari,KI,82.2,light rain,3.0707,172.7902,Isles Sunset Lodge
291,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
293,Faanui,PF,82.63,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
295,Caraballeda,VE,78.8,few clouds,10.6112,-66.8522,Hotel 15 Letras
300,Victor Harbor,AU,81.0,clear sky,-35.5667,138.6167,McCracken Country Club
306,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
312,Port Pirie,AU,89.6,clear sky,-33.1833,138.0167,John Pirie Motor Inn
313,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
315,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
316,Butaritari,KI,82.2,light rain,3.0707,172.7902,Isles Sunset Lodge
322,Hilo,US,78.8,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
325,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
330,Khartoum,SD,79.16,scattered clouds,15.5518,32.5324,Hotel China
336,Benguela,AO,77.77,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
337,Victoria,HK,86.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
