,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
80,Jamestown,42.097,-79.2353,25.0,68,90,11.5,US,light snow
81,Puerto Ayora,-0.7393,-90.3518,77.0,96,62,1.01,EC,broken clouds
82,Ribeira Grande,38.5167,-28.7,60.39,81,99,25.84,PT,overcast clouds
83,Xinmin,41.9908,122.8253,62.6,31,0,11.18,CN,light rain
84,Rikitea,-23.1203,-134.9692,72.1,89,100,4.59,PF,moderate rain
85,Bilma,18.6853,12.9164,69.64,14,0,17.58,NE,clear sky
86,Kemijarvi,66.7131,27.4306,22.59,96,100,0.63,FI,overcast clouds
87,Clyde River,70.4692,-68.5914,-25.6,75,1,10.36,CA,clear sky
88,Bengkulu,-3.8004,102.2655,81.07,75,93,12.03,ID,light rain
89,Cockburn Town,21.4612,-71.1419,77.59,72,47,19.71,TC,scattered clouds
90,Punta Arenas,-53.15,-70.9167,46.4,87,0,8.05,CL,clear sky
91,Haines Junction,60.7522,-137.5108,26.6,50,100,12.66,CA,light snow
92,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
93,Albany,42.6001,-73.9662,33.01,55,57,10.96,US,broken clouds
94,Bathsheba,13.2167,-59.5167,78.8,53,20,18.41,BB,few clouds
95,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
96,Zyryanka,65.75,150.85,9.66,75,16,9.84,RU,few clouds
97,Bengkulu,-3.8004,102.2655,81.07,75,93,12.03,ID,moderate rain
98,Mataura,-46.1927,168.8643,57.99,61,9,17.0,NZ,clear sky
99,Kapaa,22.0752,-159.319,78.8,65,75,18.41,US,broken clouds
100,Saint-Philippe,-21.3585,55.7679,77.0,69,90,10.36,RE,overcast clouds
101,Qaanaaq,77.484,-69.3632,5.92,96,100,2.71,GL,overcast clouds
102,San Patricio,28.017,-97.5169,61.0,55,75,9.22,US,broken clouds
103,Borogontsy,62.6683,131.1683,28.54,87,100,8.99,RU,overcast clouds
104,Hermanus,-34.4187,19.2345,60.01,83,100,1.01,ZA,overcast clouds
105,Puerto Ayora,-0.7393,-90.3518,77.0,96,62,1.01,EC,broken clouds
106,La Tuque,47.4334,-72.7824,19.4,73,63,11.5,CA,broken clouds
107,San Patricio,28.017,-97.5169,61.0,55,75,9.22,US,broken clouds
108,Bandarbeyla,9.4942,50.8122,75.36,72,0,4.97,SO,clear sky
109,Qaanaaq,77.484,-69.3632,5.92,96,100,2.71,GL,overcast clouds
110,Bethel,41.3712,-73.414,37.0,71,21,4.0,US,few clouds
111,Chuy,-33.6971,-53.4616,65.14,65,68,6.24,UY,broken clouds
112,Kavieng,-2.5744,150.7967,84.45,74,93,9.13,PG,light rain
113,Albany,42.6001,-73.9662,33.01,55,57,10.96,US,broken clouds
114,Waingapu,-9.6567,120.2641,79.74,86,100,5.44,ID,overcast clouds
115,Hobart,-42.8794,147.3294,69.01,59,75,3.44,AU,broken clouds
116,Adrar,20.5022,-10.0711,78.31,7,54,10.76,MR,broken clouds
117,Port Alfred,-33.5906,26.891,67.03,90,100,7.63,ZA,overcast clouds
118,Portland,45.5234,-122.6762,62.6,42,75,10.36,US,broken clouds
119,Ancud,-41.8697,-73.8203,57.0,94,90,2.3,CL,overcast clouds
120,Raymondville,26.4815,-97.7831,63.0,55,90,10.36,US,overcast clouds
121,Muros,42.7762,-9.0603,59.0,95,38,1.01,ES,light rain
122,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
